ID	S1	S2	S3
1497-RMM-1402	24.1100597679	14.6200634448	22.8890957431
1497-RMM-1403	28.3576720204	15.5739003249	18.768694074
1497-RMM-1404	29.779786469	12.0429250139	18.3305958318
1497-RMM-1405	23.0609391039	15.3582141706	23.2171183216
1497-RMM-1406	27.6712776827	12.5635986542	20.9481808352
1497-RMM-1407RR	24.6843981616	12.6822079868	24.2340218899
1497-RMM-1408	27.9480957072	15.4318680058	17.8091690345
1497-RMM-1409	17.4387888122	23.958611497	23.7975063092
1497-RMM-1410	21.1399835364	17.72184198	23.8893049023
1497-RMM-1411	28.516407303	13.6256580186	19.6474486074
1497-RMM-1412	24.1204584582	16.8314209637	20.7010727233
1497-RMM-1413	24.8406674421	13.3927198548	23.2455093949
1497-RMM-1414	27.9569153953	14.4493759322	19.5859496923
1497-RMM-1415	21.3315981903	15.3548117897	24.6511064223
1497-RMM-1416	24.5780550343	15.0881677366	22.7723009328
1497-RMM-1417	21.877834957	16.1362629474	24.6269404063
1497-RMM-1418	13.6934593497	21.0569527982	27.9981263162
1497-RMM-1419	28.6255729761	12.1248526548	20.0968488074
1497-RMM-1420	20.4686172071	16.2717445005	25.9063248558
1497-RMM-1421	22.0703538862	16.9389033957	23.5517344689
1497-RMM-1422	20.1999445365	15.2188648042	26.5278905461
1497-RMM-1423	23.3178909265	15.280635957	23.5217542036
1497-RMM-1424	20.7697082022	16.5835991526	25.4051379614
1497-RMM-1425	25.6039976349	13.1560793055	22.4546616095
1497-RMM-1426	22.0393146556	15.7642703488	23.9466884201
1497-RMM-1427	26.9151448403	16.0656897823	19.6255236373
1497-RMM-1428	23.7372338807	16.5972188932	21.6017997086
1497-RMM-1429	19.4723055202	17.9911476159	25.8563760739
1497-RMM-1430	22.3759662052	14.5002634058	25.54769186
1497-RMM-1431	26.9611752122	14.8679175312	20.0634762589
1497-RMM-1432	18.7723359231	14.288151224	28.7495066307
1497-RMM-1433	27.6218292455	15.0801057075	20.1607643765
1497-RMM-1434	22.0269505009	14.3633182932	25.8772767807
1497-RMM-1435	21.6568796965	13.9461081717	26.9455015595
1497-RMM-1436	19.6921255096	16.5803642416	26.079373544
1497-RMM-1437	21.3838972327	13.7594356164	27.5405806009
1497-RMM-1438	22.1344223481	14.303399678	25.1335524928
1497-RMM-1439	21.4617721495	15.4009270619	24.7724605181
1497-RMM-1440	22.4047943301	13.5465057871	26.0729635804
1497-RMM-1441	27.9676063028	12.9884906908	20.9597283066
1497-RMM-1442	24.5886682361	15.1912147699	22.6258293759
1497-RMM-1443	23.1975272106	15.0659039135	23.3173768473
